id_wikidata	article	grade	subject	avg_pv	avg_pv_prev	size	size_prev	notes	notes_prev	images	images_prev	references	references_prev	incipit_size	incipit_on_size	incipit_prev	issues	issues_prev	issue_sourceNeeded	issue_clarify	discussion_size	discussion_prev	first_edit	days	all_visits	VdQ	vetrina	commonsGallerys	commonsPage	page_on_wikisource
Q166620	Cuenca_hidrográfica	scuola media italiana	Geografía	449	534	20465	-	6	-	6	-	0	-	429	2.1	-	0	-	0	0	1704	-	2006-03-10	6140	3417126	0	0	Drainage basins		
Q2918088	Cuentos_de_amor_de_locura_y_de_muerte	scuola media italiana	Literatura	168	143	4338	-	2	-	2	-	0	-	514	11.85	-	0	-	0	0	2098	-	2011-10-30	4080	708711	0	0	Cuentos de amor de locura y de muerte		
Q49084	Cuento	scuola media italiana	Literatura	1364	1589	63001	-	58	-	3	-	0	-	3017	4.79	-	0	-	0	0	13054	-	2002-07-22	7467	9965633	0	0	Short stories		
Q5793817	Cuentos_de_la_selva	scuola media italiana	Literatura	92	99	1861	-	0	-	1	-	0	-	139	7.47	-	0	-	0	0	0	-	2009-07-03	4929	449354	0	0			
Q23852	Cuerpo_humano	scuola media italiana	Biología	1945	1632	27570	-	21	-	10	-	0	-	649	2.35	-	0	-	0	0	4414	-	2005-11-07	6263	7858696	0	0	Human body		
Q2842424	Cultura_de_Uruguay	scuola media italiana	Historia	75	88	20585	-	6	-	4	-	0	-	539	2.62	-	0	-	0	0	3514	-	2003-10-20	7012	347229	0	0	Culture of Uruguay		
Q1200427	Cultura_de_la_Antigua_Roma	scuola media italiana	Historia	327	318	25448	-	4	-	5	-	0	-	1087	4.27	-	0	-	0	0	910	-	2006-07-09	6019	1925067	0	0	Culture of ancient Rome		
Q2947235	Cultura_maker	scuola media italiana	Tecnologías	7	9	4547	-	5	-	2	-	0	-	1143	25.14	-	0	-	0	0	0	-	2015-08-25	2685	47002	0	0	Maker culture		
Q723418	Cumbia_(Colombia)	scuola media italiana	Educación musical	571	514	70458	-	67	-	12	-	0	-	2093	2.97	-	0	-	0	0	14243	-	2014-09-07	3037	2820860	0	0	Cumbia		
Q620584	Cálculo_mental	scuola media italiana	Matemática	41	56	31615	-	9	-	1	-	0	-	1692	5.35	-	0	-	0	0	4076	-	2004-09-02	6694	467069	0	0	Mental calculators		
Q28567	Cultura_maya	scuola media italiana	Historia	4544	3899	220792	-	377	-	66	-	0	-	6294	2.85	-	0	-	0	0	53797	-	2003-10-20	7012	21799296	0	1	Maya civilization		
Q3305627	Célula_animal	scuola media italiana	Ciencias del ambiente	1554	1584	25158	-	13	-	11	-	0	-	1180	4.69	-	0	-	0	0	1916	-	2008-04-26	5362	7135170	0	0	Animal cells		
Q7868	Célula	scuola media italiana	Ciencias del ambiente	1841	2556	83637	-	87	-	23	-	0	-	3853	4.61	-	0	-	0	0	33401	-	2004-03-08	6872	16666965	1	0	Cells		
Q3307661	Célula_eucariota	scuola media italiana	Ciencias del ambiente	1489	1824	16202	-	5	-	4	-	0	-	1818	11.22	-	0	-	0	0	8484	-	2002-10-24	7373	8662452	0	0	Eukaryotic cells		
Q3664292	Célula_procariota	scuola media italiana	Ciencias del ambiente	1212	1365	23489	-	25	-	4	-	0	-	1935	8.24	-	0	-	0	0	4436	-	2002-11-20	7346	8131627	0	0	Prokaryotic cells		
Q1056194	Célula_vegetal	scuola media italiana	Ciencias del ambiente	1294	1469	38475	-	36	-	7	-	0	-	1599	4.16	-	0	-	0	0	0	-	2006-04-14	6105	6821932	0	0	Plant cells	Plant cell	
Q93304	Código_de_Hammurabi	scuola media italiana	Historia	830	850	19995	-	28	-	4	-	0	-	1472	7.36	-	0	-	0	0	11181	-	2004-11-26	6609	4271668	0	0	Code of Hammurabi	Code of Hammurabi	
Q30600878	Cópula_(zoología)	scuola media italiana	Biología	26	11	19705	-	19	-	1	-	0	-	868	4.4	-	0	-	0	0	0	-	2022-04-20	255	13731	0	0	Animal sex		
Q201022	Danza_folclórica	scuola media italiana	Educación física y recreación	261	330	21808	-	12	-	9	-	0	-	1529	7.01	-	0	-	0	0	2217	-	2008-09-10	5225	1954889	0	0	Folk dance	Folk dance	
Q11639	Danza	scuola media italiana	Educación física y recreación	1079	1271	31085	-	25	-	11	-	0	-	1763	5.67	-	0	-	0	0	19505	-	2001-12-05	7696	7308013	0	0	Dance	Dance	
Q42848	Dato	scuola media italiana	Ciencias de la computación	354	347	19265	-	11	-	1	-	0	-	4530	23.51	-	0	-	0	0	3446	-	2003-05-26	7159	2207134	0	0	Data		
Q60826125	Decálogo_del_perfecto_cuentista	scuola media italiana	Literatura	13	17	3953	-	2	-	0	-	0	-	553	13.99	-	0	-	0	0	0	-	2018-11-10	1512	33018	0	0			
Q49473179	Deepfake	scuola media italiana	Ciencias de la computación	265	188	57715	-	52	-	4	-	0	-	2733	4.74	-	0	-	0	0	0	-	2019-01-15	1446	392175	0	0	Deepfake		
Q211669	Deglución	scuola media italiana	Biología	129	120	12964	-	7	-	1	-	0	-	1775	13.69	-	0	-	0	0	202	-	2005-09-07	6324	995950	0	0	Swallowing		
Q1334780	Degradación_ambiental	scuola media italiana	Ciencias del ambiente	93	122	22376	-	17	-	4	-	0	-	2370	10.59	-	0	-	0	0	2160	-	2018-09-23	1560	355700	0	0			
Q169940	Deforestación	scuola media italiana	Ciencias del ambiente	748	869	107857	-	161	-	12	-	0	-	4773	4.43	-	0	-	0	0	12712	-	2003-08-10	7083	6111330	0	0	Deforestation	Deforestation	
Q29137	Delito_informático	scuola media italiana	Tecnologías	318	366	100481	-	72	-	1	-	0	-	9993	9.95	-	0	-	0	0	8237	-	2006-05-31	6058	1704427	0	0	Cybercrime		
Q239458	Delmira_Agustini	scuola media italiana	Literatura	164	167	12635	-	13	-	1	-	0	-	158	1.25	-	0	-	0	0	4488	-	2004-10-26	6640	587693	0	0	Delmira Agustini	Delmira Agustini	
Q223767	Democracia_ateniense	scuola media italiana	Historia	504	517	44741	-	11	-	4	-	0	-	3020	6.75	-	0	-	0	0	8084	-	2005-06-02	6421	2570382	0	0	Athenian democracy		
Q7174	Democracia	scuola media italiana	Historia	3345	3823	94235	-	63	-	7	-	0	-	3256	3.46	-	0	-	0	0	176224	-	2003-03-25	7221	17434648	0	0	Democracy		
Q192125	Democracia_liberal	scuola media italiana	Historia	261	379	53545	-	32	-	4	-	0	-	2259	4.22	-	0	-	0	0	4791	-	2005-09-01	6330	1486558	0	0			
Q310988	Democracia_participativa	scuola media italiana	Formación para la ciudadanía	396	500	14290	-	9	-	0	-	0	-	2210	15.47	-	0	-	0	0	1929	-	2005-06-30	6393	2284843	0	0			
Q37732	Demografía	scuola media italiana	Geografía	590	588	27243	-	14	-	1	-	0	-	1219	4.47	-	0	-	0	0	10488	-	2003-10-16	7016	3932198	0	0	Demography		
Q4228	Demografía_de_Uruguay	scuola media italiana	Geografía	62	55	27411	-	35	-	4	-	0	-	1153	4.21	-	0	-	0	0	7987	-	2003-09-13	7049	322743	0	0	Demographics of Uruguay		
Q1189753	Denotación	scuola media italiana	Comunicación visual	129	156	4338	-	0	-	0	-	0	-	2063	47.56	-	0	-	0	0	3207	-	2005-05-14	6440	1577796	0	0			
Q22856	Densidad_de_población	scuola media italiana	Geografía	578	561	8838	-	5	-	4	-	0	-	1117	12.64	-	0	-	0	0	1994	-	2004-02-20	6889	3272260	0	0	Population density		
Q29539	Densidad	scuola media italiana	Química	1024	1076	20511	-	8	-	4	-	0	-	461	2.25	-	0	-	0	0	8918	-	2001-11-09	7722	9531698	0	0	Density		
Q349	Deporte	scuola media italiana	Educación física y recreación	1082	1179	34167	-	37	-	7	-	0	-	1694	4.96	-	0	-	0	0	20181	-	2002-02-17	7622	7587884	0	0	Sports	Sport	
Q216048	Deporte_de_equipo	scuola media italiana	Educación física y recreación	117	154	6505	-	0	-	19	-	0	-	212	3.26	-	0	-	0	0	148	-	2010-05-07	4621	525173	0	0	Team sports		
Q3821310	Deportes_en_Uruguay	scuola media italiana	Educación física y recreación	18	20	27667	-	7	-	6	-	0	-	977	3.53	-	0	-	0	0	2342	-	2004-02-13	6896	78585	0	0	Sports in Uruguay		
Q170430	Depredación	scuola media italiana	Ciencias del ambiente	250	297	41135	-	61	-	16	-	0	-	2090	5.08	-	0	-	0	0	286	-	2003-10-20	7012	1969660	0	0	Predation		
Q845566	Depuración_de_programas	scuola media italiana	Ciencias de la computación	28	47	2087	-	1	-	0	-	0	-	1159	55.53	-	0	-	0	0	0	-	2004-07-11	6747	241866	0	0	Debugging		
Q4340209	Depresión	scuola media italiana	Biología	391	529	114559	-	101	-	7	-	0	-	2601	2.27	-	0	-	0	0	55280	-	2004-01-28	6912	3415765	0	0	Depression (mood)		
Q1849028	Derecho_a_la_vivienda	scuola media italiana	Geografía	56	76	23787	-	19	-	4	-	0	-	859	3.61	-	0	-	0	0	17580	-	2010-02-26	4691	640637	0	0			
Q38746	Derecho_de_autor	scuola media italiana	Tecnologías	340	419	101443	-	57	-	4	-	0	-	1622	1.6	-	0	-	0	0	28877	-	2003-08-13	7080	2801406	0	0			
Q162314	Derecho_romano	scuola media italiana	Historia	481	664	29677	-	5	-	4	-	0	-	7515	25.32	-	0	-	0	0	13416	-	2003-10-31	7001	2498839	0	0	Roman law		
Q780687	Derechos	scuola media italiana	Formación para la ciudadanía	189	246	23409	-	16	-	3	-	0	-	1019	4.35	-	0	-	0	0	2473	-	2006-01-21	6188	1237714	0	0	Rights		
Q8354948	Derechos_del_niño	scuola media italiana	Salud y sexualidad	561	691	21035	-	9	-	1	-	0	-	1150	5.47	-	0	-	0	0	5024	-	2005-03-22	6493	5945223	0	0	Children's rights		
Q113462	Derechos_digitales	scuola media italiana	Formación para la ciudadanía	31	33	19354	-	19	-	2	-	0	-	1287	6.65	-	0	-	0	0	180	-	2010-06-06	4591	186483	0	0	Digital rights		
Q3242046	Derechos_económicos,_sociales_y_culturales	scuola media italiana	Formación para la ciudadanía	105	184	16860	-	11	-	1	-	0	-	2586	15.34	-	0	-	0	0	1561	-	2010-10-24	4451	1187589	0	0			
Q1536343	Derechos_reproductivos	scuola media italiana	Salud y sexualidad	35	45	18277	-	15	-	1	-	0	-	845	4.62	-	0	-	0	0	1879	-	2007-10-23	5548	468387	0	0	Reproductive rights		
Q7333703	Derechos_sexuales	scuola media italiana	Salud y sexualidad	63	104	32570	-	15	-	0	-	0	-	2122	6.52	-	0	-	0	0	3704	-	2013-02-26	3595	1036194	0	0			
Q8458	Derechos_humanos	scuola media italiana	Salud y sexualidad	1961	2942	112855	-	131	-	5	-	0	-	4563	4.04	-	0	-	0	0	26759	-	2004-03-04	6876	14988003	0	0	Human rights		
Q1987559	Derechos_sociales	scuola media italiana	Formación para la ciudadanía	187	241	12736	-	12	-	1	-	0	-	1614	12.67	-	0	-	0	0	1534	-	2006-08-06	5991	1771404	0	0			
Q178605	Deriva_continental	scuola media italiana	Geografía	511	536	19379	-	16	-	4	-	0	-	556	2.87	-	0	-	0	0	4295	-	2004-03-24	6856	2946568	0	0	Continental drift		
Q728001	Derivación_(lingüística)	scuola media italiana	Lengua española	67	73	5156	-	1	-	0	-	0	-	2179	42.26	-	0	-	0	0	18	-	2006-11-20	5885	578380	0	0			
Q1061635	Desarrollo_de_videojuegos	scuola media italiana	Ciencias del ambiente	70	105	19323	-	3	-	0	-	0	-	332	1.72	-	0	-	0	0	1165	-	2004-07-22	6736	442774	0	0	Video game development		
Q131201	Desarrollo_sostenible	scuola media italiana	Geografía	769	1684	72365	-	61	-	4	-	0	-	3617	5.0	-	0	-	0	0	27233	-	2003-09-15	7047	6987343	0	0	Sustainable development		
Q899546	Descalcificador_de_agua	scuola media italiana	Química	18	15	6297	-	1	-	3	-	0	-	1773	28.16	-	0	-	0	0	1643	-	2007-09-08	5593	24313	0	0			
Q188961	Descentralización	scuola media italiana	Formación para la ciudadanía	299	346	23958	-	22	-	4	-	0	-	2193	9.15	-	0	-	0	0	3103	-	2005-04-19	6465	2209606	0	0	Decentralization		
Q183481	Desertificación	scuola media italiana	Ciencias del ambiente	95	134	12745	-	14	-	2	-	0	-	1919	15.06	-	0	-	0	0	16379	-	2003-08-10	7083	1338327	0	0	Desertification		
Q221474	Descubrimiento_de_América	scuola media italiana	Historia	5604	5238	85885	-	94	-	16	-	0	-	4134	4.81	-	0	-	0	0	64883	-	2003-07-18	7106	21632010	0	0	Maps of voyages by Christopher Columbus		
Q787407	Desfibrilador_externo_automático	scuola media italiana	Biología	124	136	23673	-	16	-	4	-	0	-	1229	5.19	-	0	-	0	0	5521	-	2005-11-10	6260	641308	0	0	AED		
Q576145	Desgarro_muscular	scuola media italiana	Biología	54	80	6280	-	2	-	0	-	0	-	871	13.87	-	0	-	0	0	2594	-	2006-07-24	6004	1214934	0	0	Muscle strains		
Q56324177	Desigualdades_en_México	scuola media italiana	Geografía	10	16	43744	-	19	-	0	-	0	-	843	1.93	-	0	-	0	0	4183	-	2018-06-12	1663	38144	0	0			
Q24887418	Desinfección	scuola media italiana	Química	139	193	9407	-	2	-	1	-	0	-	1157	12.3	-	0	-	0	0	2236	-	2007-11-30	5510	1178022	0	0	Disinfection		
Q576271	Determinante_(lingüística)	scuola media italiana	Lengua española	168	159	10503	-	1	-	0	-	0	-	776	7.39	-	0	-	0	0	4870	-	2005-04-30	6454	1074295	0	0			
